,x
1,-2
2,5
3,0
4,0
5,0
6,-2
7,1
8,-1
9,-2
10,-5
11,6
12,0
13,1
14,0
15,-12
16,-4
17,0
18,2
19,-2
20,0
21,0
22,-5
23,1
24,-4
25,-8
26,0
27,-7
28,-1
29,-1
30,5
31,0
32,7
33,-1
34,-1
35,3
36,1
37,-1
38,-6
39,-2
40,1
41,0
42,-17
43,0
44,6
45,0
46,-5
47,-1
48,-2
49,-6
50,-9
51,2
52,1
53,2
54,1
55,0
56,-1
57,0
58,-2
59,-9
60,-9
61,-1
62,-1
63,0
64,0
65,0
66,3
67,2
68,0
69,0
70,-2
71,-3
72,4
73,-1
74,3
75,0
76,0
77,1
78,-2
79,0
80,4
81,-15
82,-18
83,2
84,2
85,5
86,0
87,2
88,-2
89,-5
90,2
91,0
92,0
93,-7
94,-2
95,3
96,2
97,3
98,-3
99,4
100,0
101,3
102,-2
103,0
104,-3
105,7
106,0
107,-3
108,-4
109,-11
110,0
111,-5
112,0
113,1
114,-9
115,0
116,13
117,0
118,-7
119,-5
120,3
121,-2
122,-3
123,4
124,-7
125,1
126,-2
127,-2
128,0
129,0
130,0
131,-4
132,-10
133,0
134,-4
135,1
136,-5
137,5
138,-2
139,2
140,-2
141,-8
142,0
143,-1
144,-3
145,-2
146,-3
147,5
148,2
149,-15
150,6
151,3
152,0
153,-1
154,2
155,0
156,0
157,-2
158,3
159,35
160,-38
161,7
162,1
163,-14
164,0
165,-2
166,0
167,0
168,0
169,-15
170,0
171,-3
172,0
173,1
174,0
175,0
176,0
177,-3
178,-3
179,-4
180,3
181,-1
182,1
183,-1
184,-1
185,-3
186,0
187,6
188,-4
189,6
190,-1
191,0
192,0
193,-2
194,-1
195,-1
196,0
197,29
198,4
199,-3
200,0
201,4
202,-7
203,-4
204,-3
205,1
206,-11
207,-3
208,9
209,0
210,0
211,-4
212,5
213,0
214,0
215,5
216,-3
217,-1
218,10
219,4
220,2
221,0
222,-3
223,0
224,5
225,9
226,-5
227,-4
228,-3
229,-3
230,2
231,-21
232,-2
233,-6
234,0
235,8
236,-7
237,-2
238,3
239,8
240,0
241,-1
242,1
243,-3
244,-16
245,-4
246,0
247,3
248,4
249,7
250,0
251,4
252,-7
253,0
254,1
255,0
256,-1
257,0
258,2
259,0
260,-18
261,0
262,0
263,-3
264,2
265,-3
266,1
267,-3
268,-2
269,-1
270,0
271,2
272,-4
273,-3
274,0
275,-5
276,-4
277,1
278,0
279,-11
280,0
281,-1
282,6
283,0
284,-18
285,-7
286,-8
287,0
288,-2
289,-7
290,0
291,-5
292,-2
293,-4
294,-1
295,0
296,0
297,-1
298,0
299,-2
300,-4
301,0
302,3
303,-4
304,5
305,0
306,6
307,-4
308,0
309,2
310,-5
311,-2
312,-2
313,-16
314,-14
315,-2
316,-7
317,0
318,-3
319,-14
320,-10
321,0
322,21
323,4
324,-4
325,-2
326,-6
327,1
328,0
329,-13
330,2
331,-25
332,-4
333,-13
334,-2
335,0
336,5
337,-1
338,-6
339,0
340,0
341,-3
342,-2
343,-2
344,-2
345,0
346,0
347,3
348,-1
349,4
350,0
351,0
352,0
353,-6
354,-4
355,-3
356,-1
357,4
358,-10
359,-39
360,-4
361,0
362,-1
363,0
364,2
365,-4
366,3
367,-5
368,-8
369,3
370,4
371,-5
372,-8
373,2
374,-3
375,2
376,-8
377,-2
378,-1
379,0
380,-4
381,1
382,3
383,2
384,-21
385,25
386,0
387,0
388,-8
389,0
390,-1
391,0
392,0
393,2
394,0
395,5
396,0
397,2
398,-2
399,-1
400,6
401,-14
402,-4
403,-42
404,0
405,-3
406,3
407,-4
408,-5
409,9
410,-1
411,-2
412,3
413,3
414,1
415,4
416,-3
417,-11
418,-5
419,-12
420,-3
421,-3
422,-20
423,-13
424,-2
425,0
426,0
427,4
428,1
429,5
430,0
431,0
432,2
433,3
434,2
435,13
436,10
437,-2
438,0
439,0
440,0
441,0
442,-2
443,-15
444,0
445,0
446,-20
447,4
448,0
449,3
450,0
451,0
452,5
453,-8
454,-2
455,5
456,0
457,0
458,2
459,7
460,0
461,10
462,0
463,4
464,-2
465,-10
466,-5
467,-3
468,3
469,2
470,0
471,0
472,-5
473,1
474,-8
475,-9
476,-5
477,0
478,8
479,0
480,-3
481,0
482,-1
483,8
484,-4
485,5
486,-9
487,-5
488,8
489,2
490,-5
491,-4
492,-3
493,0
494,-14
495,0
496,-4
497,3
498,0
499,3
500,0
501,0
502,0
503,-7
504,-1
505,-1
506,0
507,-10
508,-7
509,2
510,3
511,-2
512,-13
513,2
514,-28
515,-26
516,-1
517,0
518,3
519,-3
520,-8
521,-1
522,-7
523,-1
524,0
525,0
526,2
527,-7
528,-11
529,1
530,1
531,0
532,1
533,4
534,-3
535,0
536,-2
537,0
538,-7
539,-1
540,-1
541,-8
542,6
543,-2
544,5
545,3
546,2
547,1
548,-7
549,6
550,0
551,0
552,-7
553,0
554,10
555,-10
556,-1
557,0
558,-15
559,-15
560,-5
561,-1
562,4
563,1
564,4
565,1
566,-2
567,-6
568,-3
569,-1
570,4
571,0
572,0
573,5
574,-3
575,2
576,0
577,0
578,0
579,0
580,-3
581,0
582,-3
583,4
584,-10
585,-5
586,0
587,-1
588,-6
589,1
590,0
591,1
592,0
593,-13
594,2
595,0
596,-2
597,-1
598,-11
599,-19
600,0
601,1
602,6
603,2
604,4
605,0
606,-1
607,3
608,-16
609,-6
610,2
611,10
612,2
613,-5
614,0
615,-9
616,-1
617,-2
618,0
619,-1
620,0
621,4
622,2
623,0
624,0
625,-1
626,2
627,8
628,0
629,1
630,0
631,3
632,-1
633,-2
634,-1
635,0
636,0
637,0
638,2
639,-7
640,-3
641,3
642,0
643,-1
644,-9
645,0
646,-3
647,-8
648,-5
649,-3
650,0
651,4
652,1
653,-7
654,3
655,-5
656,3
657,-1
658,1
659,-7
660,-5
661,3
662,-3
663,6
664,-1
665,0
666,-4
667,0
668,-2
669,-2
670,0
671,-3
672,-2
673,-4
674,0
675,-3
676,0
677,0
678,-5
679,-5
680,1
681,-3
682,0
683,-3
684,-5
685,0
686,2
687,-13
688,0
689,0
690,0
691,-3
692,0
693,1
694,-1
695,0
696,5
697,-3
698,3
699,0
700,-6
701,-1
702,1
703,0
704,2
705,2
706,-4
707,-10
708,-1
709,-3
710,-1
711,5
712,0
713,-1
714,2
715,-1
716,1
717,0
718,-4
719,-3
720,-4
721,0
722,6
723,0
724,2
725,1
726,-4
727,-10
728,-1
729,3
730,-3
731,1
732,0
733,-11
734,-9
735,0
736,1
737,-9
738,0
739,-5
740,2
741,-9
742,2
743,-10
744,0
745,1
746,0
747,-9
748,-16
749,0
750,-3
751,-25
752,-8
753,-3
754,1
755,-7
756,4
757,-2
758,12
759,0
760,1
761,-6
762,0
763,-5
764,-4
765,3
766,-3
767,0
768,2
769,1
770,-49
771,5
772,2
773,-11
774,3
775,0
776,1
777,-17
778,1
779,6
780,4
781,-7
782,-1
783,-2
784,7
785,5
786,-4
787,-5
788,11
789,0
790,2
791,-6
792,-3
793,0
794,-8
795,0
796,0
797,5
798,1
799,0
800,-15
801,0
802,-1
803,-8
804,5
805,9
806,0
807,9
808,-1
809,-7
810,-3
811,-5
812,-1
813,-1
814,25
815,0
816,-3
817,-6
818,-2
819,0
820,-1
821,3
822,-20
823,3
824,0
825,1
826,-2
827,-2
828,2
829,-1
830,5
831,-1
832,-3
833,0
834,0
835,0
836,2
837,2
838,4
839,-3
840,0
841,-1
842,3
843,-4
844,-2
845,-6
846,-2
847,-7
848,-3
849,12
850,2
851,-1
852,-1
853,-2
854,0
855,0
856,0
857,0
858,6
859,-5
860,-4
861,-2
862,-2
863,-1
864,-4
865,-10
866,0
867,0
868,1
869,2
870,1
871,-14
872,0
873,0
874,3
875,4
876,-2
877,4
878,0
879,-2
