,x
1,-2
2,0
3,0
4,-1
5,0
6,1
7,-4
8,0
9,2
10,0
11,0
12,-5
13,-4
14,-8
15,0
16,-1
17,-1
18,5
19,0
20,7
21,-1
22,3
23,1
24,-6
25,-2
26,0
27,0
28,-5
29,-1
30,1
31,2
32,1
33,-1
34,-9
35,-1
36,-1
37,0
38,0
39,0
40,3
41,2
42,0
43,0
44,-2
45,-3
46,0
47,0
48,-2
49,0
50,4
51,2
52,2
53,0
54,2
55,-2
56,2
57,0
58,-7
59,3
60,2
61,3
62,0
63,3
64,-2
65,0
66,-3
67,7
68,0
69,-3
70,-4
71,-11
72,0
73,0
74,1
75,-9
76,13
77,0
78,-7
79,-5
80,3
81,-2
82,-3
83,-7
84,1
85,-2
86,-2
87,0
88,0
89,-4
90,0
91,-4
92,-5
93,5
94,-2
95,-2
96,-8
97,0
98,-1
99,-3
100,-2
101,-3
102,-15
103,6
104,3
105,0
106,-1
107,0
108,0
109,-2
110,3
111,7
112,1
113,-14
114,0
115,0
116,0
117,0
118,0
119,3
120,-1
121,1
122,-1
123,-1
124,-3
125,0
126,6
127,-4
128,6
129,0
130,-2
131,-1
132,-1
133,0
134,29
135,4
136,-3
137,4
138,-4
139,-3
140,1
141,-3
142,9
143,0
144,0
145,-4
146,5
147,0
148,0
149,-3
150,-1
151,10
152,4
153,2
154,-3
155,5
156,9
157,-5
158,-4
159,-3
160,2
161,-2
162,-6
163,0
164,8
165,-7
166,8
167,0
168,-1
169,1
170,-3
171,-16
172,-4
173,0
174,3
175,4
176,7
177,0
178,4
179,-7
180,0
181,-1
182,0
183,2
184,0
185,-18
186,0
187,-3
188,-3
189,1
190,-3
191,-2
192,0
193,2
194,-4
195,-3
196,1
197,0
198,-11
199,0
200,-18
201,-7
202,-8
203,0
204,-2
205,-7
206,0
207,-2
208,-1
209,0
210,-1
211,0
212,-2
213,0
214,3
215,-4
216,5
217,0
218,-4
219,0
220,2
221,-5
222,-2
223,-2
224,-16
225,-2
226,0
227,-3
228,-14
229,-10
230,0
231,-4
232,-2
233,1
234,0
235,-13
236,2
237,-25
238,-4
239,-13
240,0
241,5
242,0
243,0
244,-2
245,-2
246,-2
247,0
248,0
249,-1
250,4
251,0
252,0
253,-6
254,-4
255,-3
256,-1
257,4
258,-39
259,-4
260,0
261,-1
262,0
263,2
264,-4
265,3
266,-5
267,3
268,-5
269,-8
270,2
271,-3
272,2
273,1
274,2
275,-21
276,0
277,-1
278,0
279,2
280,0
281,0
282,-1
283,-14
284,-4
285,-42
286,3
287,-4
288,9
289,-2
290,3
291,3
292,4
293,-11
294,-12
295,-3
296,-13
297,-2
298,0
299,0
300,4
301,5
302,2
303,3
304,13
305,-2
306,0
307,0
308,-15
309,0
310,0
311,-20
312,4
313,0
314,0
315,0
316,5
317,-2
318,0
319,0
320,2
321,0
322,0
323,4
324,-2
325,-10
326,-5
327,3
328,0
329,0
330,-5
331,-9
332,8
333,0
334,-1
335,-4
336,-5
337,8
338,2
339,-4
340,-3
341,0
342,-14
343,0
344,0
345,3
346,0
347,0
348,0
349,-7
350,-1
351,-10
352,-2
353,-13
354,2
355,-28
356,-26
357,3
358,-3
359,-1
360,-7
361,0
362,2
363,-7
364,-11
365,1
366,1
367,4
368,-3
369,0
370,0
371,-7
372,-1
373,-1
374,6
375,-2
376,5
377,3
378,2
379,1
380,-7
381,6
382,0
383,-7
384,0
385,10
386,-10
387,-1
388,-15
389,-15
390,-5
391,4
392,1
393,4
394,-2
395,-6
396,-3
397,-1
398,0
399,0
400,5
401,-3
402,0
403,0
404,-3
405,0
406,-3
407,-10
408,-5
409,0
410,-1
411,-6
412,1
413,0
414,1
415,0
416,2
417,0
418,-2
419,-1
420,-19
421,0
422,6
423,2
424,4
425,-1
426,-16
427,-6
428,2
429,2
430,-5
431,0
432,-1
433,-2
434,0
435,0
436,4
437,2
438,0
439,-1
440,2
441,8
442,1
443,0
444,-1
445,-2
446,-1
447,0
448,0
449,0
450,2
451,-7
452,0
453,-9
454,0
455,-3
456,-5
457,-3
458,4
459,1
460,-1
461,-5
462,3
463,-3
464,-1
465,0
466,-4
467,0
468,-2
469,-3
470,0
471,-3
472,0
473,0
474,-5
475,-5
476,1
477,-3
478,0
479,-3
480,0
481,2
482,-13
483,0
484,0
485,-3
486,0
487,1
488,-1
489,5
490,-3
491,3
492,-6
493,-1
494,1
495,0
496,2
497,2
498,-10
499,-1
500,-3
501,-1
502,-1
503,1
504,0
505,-4
506,-3
507,-4
508,6
509,0
510,2
511,1
512,-4
513,-10
514,1
515,0
516,-11
517,-9
518,1
519,-9
520,-5
521,2
522,0
523,1
524,-9
525,-16
526,0
527,-3
528,-25
529,-8
530,-3
531,1
532,4
533,-2
534,12
535,0
536,1
537,0
538,-5
539,-4
540,0
541,1
542,-49
543,2
544,-11
545,0
546,-17
547,1
548,6
549,4
550,-7
551,5
552,-5
553,0
554,-3
555,0
556,-8
557,0
558,0
559,1
560,0
561,0
562,-1
563,-8
564,5
565,0
566,9
567,-1
568,-3
569,-1
570,-1
571,0
572,-3
573,-6
574,-2
575,0
576,-1
577,3
578,3
579,1
580,-2
581,2
582,-1
583,5
584,-3
585,0
586,2
587,2
588,-3
589,0
590,-1
591,-4
592,-2
593,-6
594,12
595,2
596,-1
597,-1
598,-2
599,0
600,0
601,-4
602,-1
603,-4
604,-10
605,0
606,0
607,1
608,2
609,1
610,-14
611,0
612,0
613,4
614,-2
615,4
616,0
617,-2
618,-1
619,-1
620,-3
621,-8
622,-6
,-1.256410256
