"","x"
"1",-1
"2",2
"3",4
"4",2
"5",2
"6",-19
"7",-1
"8",3
"9",10
"10",-13
"11",-2
"12",0
"13",-1
"14",-3
"15",1
"16",-18
"17",-27
"18",11
"19",-4
"20",-13
"21",4
"22",-1
"23",-4
"24",-12
"25",-7
"26",-9
"27",-1
"28",25
"29",2
"30",5
"31",-1
"32",-5
"33",-10
"34",-4
"35",1
"36",3
"37",7
"38",10
"39",0
"40",10
"41",4
"42",-3
"43",-6
"44",-7
"45",-2
"46",0
"47",5
"48",2
"49",-6
"50",2
"51",0
"52",-2
"53",11
"54",-1
"55",-9
"56",8
"57",-3
"58",0
"59",-5
"60",0
"61",10
"62",-13
"63",-5
"64",3
"65",0
"66",-4
"67",0
"68",0
"69",-3
"70",-2
"71",-1
"72",-2
"73",-2
"74",-6
"75",3
"76",-3
"77",-1
"78",-2
"79",-7
"80",0
"81",0
"82",0
"83",-2
"84",-2
"85",1
"86",2
"87",-7
"88",0
"89",-5
"90",0
"91",-1
"92",-7
